Dataset,Strategy,Scenario,Parameters,Modified_Traces,Fitness,Precision,Generalization,Simplicity
fineExp,BASELINE,original,,0,0.9274,0.7515,0.9516,0.6279
fineExp,REPAIR,A2_top+B2_bottleneck,top_5+bottleneck_top_2,500,0.9272,0.7509,0.9861,0.6279
fineExp,REPAIR,A2_top+B2_bottleneck,top_5+bottleneck_top_3,535,0.9274,0.7267,0.9859,0.6279
fineExp,REPAIR,A2_top+B2_bottleneck,top_10+bottleneck_top_2,517,0.9273,0.7509,0.986,0.6279
fineExp,REPAIR,A2_top+B2_bottleneck,top_10+bottleneck_top_3,584,0.9273,0.7264,0.986,0.6279
fineExp,REPAIR,A2_top+B2_bottleneck,top_15+bottleneck_top_2,524,0.9272,0.7509,0.9861,0.6279
fineExp,REPAIR,A2_top+B2_bottleneck,top_15+bottleneck_top_3,599,0.9273,0.7264,0.9859,0.6279
fineExp,REPAIR,A1+B1_exact,all+exact_ged_2,557,0.9272,0.716,0.9861,0.6279
fineExp,REPAIR,A1+B1_extreme_min,all+min_extreme_3,17,0.9274,0.7515,0.9516,0.6279
fineExp,REPAIR,A1+B1_extreme_max,all+max_extreme_6,3370,0.9257,0.6643,0.9873,0.6279
fineExp,REPAIR,A2_top+B1_extreme_max,top_5+max_extreme_6,3288,0.9258,0.7273,0.987,0.6279
fineExp,REPAIR,A2_top+B1_extreme_max,top_10+max_extreme_6,3338,0.9257,0.6918,0.9873,0.6279
fineExp,REPAIR,A2_top+B1_extreme_max,top_15+max_extreme_6,3357,0.9257,0.6917,0.9872,0.6279
fineExp,REPAIR,A2_bottom+B1_extreme_max,bottom_5+max_extreme_6,8,0.9274,0.7514,0.9516,0.6279
fineExp,REPAIR,A2_bottom+B1_extreme_max,bottom_10+max_extreme_6,22,0.9274,0.7514,0.9667,0.6279
fineExp,REPAIR,A2_top+B1_extreme_min,top_10+min_extreme_3,15,0.9274,0.7515,0.9516,0.6279
fineExp,REPAIR,A2_top+B1_extreme_min,top_15+min_extreme_3,15,0.9274,0.7515,0.9516,0.6279
fineExp,REPAIR,A2_bottom+B1_extreme_min,bottom_10+min_extreme_3,2,0.9274,0.7515,0.9516,0.6279
fineExp,REPAIR,A1+B2_bottleneck,all+bottleneck_top_2,539,0.9272,0.7508,0.9861,0.6279
fineExp,REPAIR,A1+B2_bottleneck,all+bottleneck_top_3,613,0.9272,0.6996,0.9862,0.6279
fineExp,REPAIR,A1+B3_early,all+early,3025,0.926,0.691,0.9867,0.6279
fineExp,REPAIR,A1+B3_late,all+late,3370,0.9257,0.6929,0.9873,0.6279
fineExp,REPAIR,A2_top+B1_exact,top_5+exact_ged_2,500,0.9272,0.7509,0.9861,0.6279
fineExp,REPAIR,A2_top+B1_exact,top_10+exact_ged_2,546,0.9273,0.716,0.986,0.6279
fineExp,REPAIR,A2_top+B1_exact,top_15+exact_ged_2,553,0.9273,0.716,0.986,0.6279
fineExp,REPAIR,A2_top+B3_early,top_5+early,2931,0.926,0.7522,0.9868,0.6279
fineExp,REPAIR,A2_top+B3_early,top_10+early,2986,0.926,0.7172,0.9868,0.6279
fineExp,REPAIR,A2_top+B3_early,top_15+early,3008,0.926,0.7172,0.9867,0.6279
fineExp,REPAIR,A2_top+B3_late,top_5+late,3288,0.9257,0.7269,0.9872,0.6279
fineExp,REPAIR,A2_top+B3_late,top_10+late,3338,0.9258,0.6911,0.987,0.6279
fineExp,REPAIR,A2_top+B3_late,top_15+late,3357,0.9257,0.6918,0.9872,0.6279
fineExp,REPAIR,A2_bottom+B1_exact,bottom_5+exact_ged_2,3,0.9274,0.7515,0.9516,0.6279
fineExp,REPAIR,A2_bottom+B1_exact,bottom_10+exact_ged_2,3,0.9274,0.7515,0.9516,0.6279
fineExp,REPAIR,A2_bottom+B3_early,bottom_5+early,8,0.9274,0.7514,0.9516,0.6279
fineExp,REPAIR,A2_bottom+B3_early,bottom_10+early,20,0.9274,0.7514,0.9667,0.6279
fineExp,REPAIR,A2_bottom+B3_late,bottom_5+late,8,0.9274,0.7514,0.9516,0.6279
fineExp,REPAIR,A2_bottom+B3_late,bottom_10+late,22,0.9274,0.7514,0.9667,0.6279
fineExp,REPAIR,B2_bottleneck,bottleneck_top_2,539,0.9272,0.7236,0.9861,0.6279
fineExp,REPAIR,A1,all,3370,0.9257,0.6646,0.9873,0.6279
fineExp,REPAIR,A2_top,top_5,3288,0.9258,0.7263,0.987,0.6279
fineExp,REPAIR,A2_bottom,bottom_5,8,0.9274,0.7514,0.9516,0.6279
fineExp,REPAIR,B1_exact,exact_ged_2,557,0.9273,0.716,0.986,0.6279
fineExp,REPAIR,B1_extreme_min,min_extreme_3,17,0.9274,0.7515,0.9516,0.6279
fineExp,REPAIR,B1_extreme_max,max_extreme_6,3370,0.9258,0.6659,0.987,0.6279
fineExp,REPAIR,B3_early,early,3025,0.926,0.691,0.9867,0.6279
fineExp,REPAIR,B3_late,late,3370,0.9258,0.6648,0.9871,0.6279
